Stage,Timestamp,File Name,Prompt Tokens,Completion Tokens,Total Tokens,Cached Tokens
labeling,2025-02-28T10:40:09.110566,0279901b645e568591ad95dac2c2bf939ef0c00d,100265,462,100727,0
labeling,2025-02-28T10:40:18.683874,0279901b645e568591ad95dac2c2bf939ef0c00d,38625,544,39169,0
labeling,2025-02-28T10:40:49.558088,0981826b4b43a88920f3e01c71ae73539bab84cc,90524,240,90764,0
labeling,2025-02-28T10:41:39.964836,0a61a353b1ea9fd9b8f63b60239634ca3007d58f,99523,356,99879,0
labeling,2025-02-28T10:41:42.704948,0a61a353b1ea9fd9b8f63b60239634ca3007d58f,7770,135,7905,0
labeling,2025-02-28T10:42:00.967048,0c0faea14d108e1617f2d6d2a7c1aae04eb88fe0,41505,127,41632,0
labeling,2025-02-28T10:42:28.299827,0f111d244aee3d976684995a222fa177a64571c4,75721,321,76042,0
labeling,2025-02-28T10:42:39.047419,105688726e097505beef4934896193ac51295037,27763,381,28144,0
labeling,2025-02-28T10:43:05.141286,12bff07b957b1c8f8cad9d917ca18005720cce9b,44877,653,45530,0
labeling,2025-02-28T10:43:32.623169,13999998018cc53440310d94a26d1e8957e2277f,82550,235,82785,0
labeling,2025-02-28T10:44:36.928260,14fa568899745270c4ff2c10073f97f2c2e7764b,97368,568,97936,0
labeling,2025-02-28T10:44:39.177830,14fa568899745270c4ff2c10073f97f2c2e7764b,4915,76,4991,0
labeling,2025-02-28T10:45:31.949481,1a12ef3f11a64e92eeca39e493a17d2860c014a6,96957,245,97202,0
labeling,2025-02-28T10:46:44.239444,1ab89c81bdb49d4bfba2202eeb8e1c93bed414c7,100472,447,100919,0
labeling,2025-02-28T10:46:59.333443,1ab89c81bdb49d4bfba2202eeb8e1c93bed414c7,99478,464,99942,0
labeling,2025-02-28T10:47:05.247123,1ab89c81bdb49d4bfba2202eeb8e1c93bed414c7,8502,569,9071,0
labeling,2025-02-28T10:47:25.172981,1af8f906e34af6e0acfe4f73e37093bbe34700f3,54103,375,54478,0
labeling,2025-02-28T10:47:42.450434,1bd670f9cdf088266db849722c3aded77a2f4894,56842,92,56934,0
labeling,2025-02-28T10:48:44.071615,23b2c590c4887dfb86761730dd7156fe3b216ab7,100326,558,100884,0
labeling,2025-02-28T10:48:45.912417,23b2c590c4887dfb86761730dd7156fe3b216ab7,12541,64,12605,0
labeling,2025-02-28T10:49:12.894866,2cdfd39bbf896b0f6651ebb0fe697cdf8c7ef0e8,91131,74,91205,0
labeling,2025-02-28T10:50:12.188389,2db41ba86cc015db1f5f7de00b764a06e6de3dcc,99594,543,100137,0
labeling,2025-02-28T10:50:19.130800,2db41ba86cc015db1f5f7de00b764a06e6de3dcc,74601,144,74745,0
labeling,2025-02-28T10:50:58.354561,2e315764be39701457b88c23f70c5ddede4b2453,97525,160,97685,0
labeling,2025-02-28T10:51:46.946182,2fd79ae4ebe4943384c119eb1d1e9286ba3c5074,80423,407,80830,0
labeling,2025-02-28T10:52:23.875151,30f64d1043f4cb425eb636763580ae27094ffef1,74597,316,74913,0
labeling,2025-02-28T10:52:38.642349,31a60b930e0f1034afff6e2d1e406e7d9141b2a1,34628,354,34982,0
labeling,2025-02-28T10:53:03.895646,31e16caf2a6d45fb9cc41fb158b49933df4895f7,37362,112,37474,0
labeling,2025-02-28T10:53:55.263727,35839effbc332f23d5f34263aab3dcb2c6976420,100370,576,100946,0
labeling,2025-02-28T10:54:01.019672,35839effbc332f23d5f34263aab3dcb2c6976420,49384,184,49568,0
labeling,2025-02-28T10:54:36.673936,36dd058d3237202cbb94139611c8b8a35ff8c158,100365,71,100436,0
labeling,2025-02-28T10:54:40.275822,36dd058d3237202cbb94139611c8b8a35ff8c158,52238,66,52304,0
labeling,2025-02-28T10:54:52.349069,3bb894b4201667baf60b0b2c8a47109fa2357acb,32228,281,32509,0
labeling,2025-02-28T10:55:04.589321,3e5ccdb58faf901e75e31f154cb8330869ca5efa,35582,249,35831,0
labeling,2025-02-28T10:56:06.430360,3f36d4f26ada778d89cf5a7344be0b9e9a5223a3,100462,495,100957,0
labeling,2025-02-28T10:56:17.899181,3f36d4f26ada778d89cf5a7344be0b9e9a5223a3,84360,404,84764,0
labeling,2025-02-28T10:57:00.777602,446545ae548543d8744f8d885ff75face3424ba4,100417,335,100752,0
labeling,2025-02-28T10:57:03.848077,446545ae548543d8744f8d885ff75face3424ba4,32303,101,32404,0
labeling,2025-02-28T10:57:35.959394,4d3e52b69b4b5366e54ce87cf641b01b1419bdee,100304,504,100808,0
labeling,2025-02-28T10:57:43.583931,4d3e52b69b4b5366e54ce87cf641b01b1419bdee,25131,533,25664,0
labeling,2025-02-28T10:57:57.289654,4e3efdc544140b872a59e124443a64c34f356911,6573,121,6694,0
labeling,2025-02-28T10:58:41.642093,51bae8eeb78cf7d8d96c5cb66c36c41c6bd71491,100393,352,100745,0
labeling,2025-02-28T10:58:48.355543,51bae8eeb78cf7d8d96c5cb66c36c41c6bd71491,85710,92,85802,0
labeling,2025-02-28T10:59:02.934489,53a00624418f6c5c2d044344a4125bba7743614f,2122,389,2511,0
labeling,2025-02-28T10:59:21.979736,53aa4bfb3b29d7fc064e97626fc4f860942ca9fd,28604,1088,29692,0
labeling,2025-02-28T10:59:48.134872,553afbf09b6d83166b17acb02431c6cf38e4defc,77301,157,77458,0
labeling,2025-02-28T11:00:37.355855,5a24fa827d172a7669eca206b2a5f47c2b19b48d,99797,308,100105,0
labeling,2025-02-28T11:00:46.865677,5a24fa827d172a7669eca206b2a5f47c2b19b48d,98628,200,98828,0
labeling,2025-02-28T11:03:06.104871,5bb5f71d1457f3272adab97d64a79c300da75cea,100510,618,101128,0
labeling,2025-02-28T11:03:24.680252,5bb5f71d1457f3272adab97d64a79c300da75cea,100142,575,100717,0
labeling,2025-02-28T11:03:36.174901,5bb5f71d1457f3272adab97d64a79c300da75cea,48453,572,49025,0
labeling,2025-02-28T11:04:09.458832,5f226fe96206888930e3baaf0bff70d4b0a1db40,100453,113,100566,0
labeling,2025-02-28T11:04:12.806946,5f226fe96206888930e3baaf0bff70d4b0a1db40,44054,94,44148,0
labeling,2025-02-28T11:05:00.981399,6159f86f38ec4f82453d99a01c22f1847de133c6,100189,100,100289,0
labeling,2025-02-28T11:05:10.654025,6159f86f38ec4f82453d99a01c22f1847de133c6,99923,184,100107,0
labeling,2025-02-28T11:05:12.859145,6159f86f38ec4f82453d99a01c22f1847de133c6,10358,135,10493,0
labeling,2025-02-28T11:05:31.043473,6406e378c1f49a29c836633f187c271b30b50183,48969,153,49122,0
labeling,2025-02-28T11:07:18.513580,6529fba868216a923407fb0d4e15a811a8e89ebc,99456,474,99930,0
labeling,2025-02-28T11:07:21.981854,6529fba868216a923407fb0d4e15a811a8e89ebc,9436,230,9666,0
labeling,2025-02-28T11:08:22.980432,67185fca2a09b3c46ee961b2c1ae160dab8b5231,99547,274,99821,0
labeling,2025-02-28T11:08:27.198509,67185fca2a09b3c46ee961b2c1ae160dab8b5231,38649,77,38726,0
labeling,2025-02-28T11:08:49.159182,674a255d82495ef40189645697460801193e5a2d,85756,142,85898,0
labeling,2025-02-28T11:09:40.585593,682de8e45fd9688f3452bc0e18257132a8f3cff6,99721,476,100197,0
labeling,2025-02-28T11:09:47.486565,682de8e45fd9688f3452bc0e18257132a8f3cff6,11967,404,12371,0
labeling,2025-02-28T11:12:08.314602,696ddc4c80febe0f1559ed3b1272487c74ca91cc,100066,492,100558,0
labeling,2025-02-28T11:12:13.302348,696ddc4c80febe0f1559ed3b1272487c74ca91cc,34114,253,34367,0
